product,category,classification,strategy_role,portal_oracle_h1,full_oracle_h1,largest_gap,classification_old,strategy_role_old,classification_reason,signal_family_best_portal,model_type_best_portal,horizon_best_portal,passive_proxy_pnl_best_portal,taker_proxy_pnl_best_portal,positive_days_best_portal,positive_blocks_best_portal,block_count_best_portal,signal_family_best_full,model_type_best_full,horizon_best_full,passive_proxy_pnl_best_full,taker_proxy_pnl_best_full,positive_days_best_full,best_candidate_pnl_full,best_candidate_pnl_portal,worst_candidate_pnl_full,worst_candidate_pnl_portal,best_probe,best_probe_product_pnl,probe_portal_kevin,probe_full_kevin,oracle_capture_portal,engine_status,best_engine,engine_action,failure_or_risk,candidate_26_30_role
TRANSLATOR_ASTRO_BLACK,TRANSLATOR,conditional_edge,signal/anchor-only,39640.0,1221395.0,39640.0,conditional_edge,signal/anchor-only,prior individual probe status was `too weak alone`; keep only gated or as a basket component.,breakout_low_reversal,breakout,100,116168.0,85309.55000000002,1,5,5,breakout_high,breakout,500,1557892.0,476660.3499999996,2,0.0,0.0,0.0,0.0,me_translator_colorways.py,-2218.0,2862.0,,0.0,engine_anchor_only,me_translator_colorways,use as anchor/signal only; do not trade standalone,prior probes too weak; potential use as category/semantic anchor,exclude
MICROCHIP_SQUARE,MICROCHIP,conditional_edge,regime-only,134740.0,3342130.0,129718.0,conditional_edge,regime-only,portal/integration PnL is positive but full-history attribution is weak or negative; treat as portal-fragile and gate hard.,breakout_low_reversal,breakout,200,474125.5,367223.3999999999,1,6,6,momentum,statistical/time-series,500,2512212.75,1794154.9,2,0.0,5022.0,-7765.0,0.0,me_microchip_taker_stress.py,4486.0,3407.0,,0.03727178269259314,engine_conditional,me_microchip_taker_stress,gate by product-specific threshold/regime; include only in exploratory candidate or with small cap,portal-positive or proxy-positive but weak full-history support,exploratory high-upside gated engine
MICROCHIP_TRIANGLE,MICROCHIP,conditional_edge,basket-only,74455.0,2316490.0,73212.5,conditional_edge,basket-only,edge appears in a component/probe but is too small or unstable to call standalone strategy-grade.,rolling_mean_reversion,statistical/time-series,50,90206.5,77005.1,1,7,9,breakout_low_reversal,breakout,500,9900050.25,7339277.900000001,3,9579.5,1242.5,0.0,0.0,me_microchip_shape_breakout.py,551.0,11719.0,,0.016687932308105568,engine_conditional,me_microchip_shape_breakout,gate by product-specific threshold/regime; include only in exploratory candidate or with small cap,positive but too small/fragile for standalone confidence,exploratory high-upside gated engine
MICROCHIP_RECTANGLE,MICROCHIP,conditional_edge,regime-only,63905.0,2089515.0,63046.0,conditional_edge,regime-only,portal/integration PnL is positive but full-history attribution is weak or negative; treat as portal-fragile and gate hard.,breakout_low_reversal,breakout,500,428480.25,303121.95000000007,1,3,3,breakout_low_reversal,breakout,500,5635790.75,4348686.6,3,0.0,859.0,-11087.0,0.0,me_microchip_shape_breakout.py,2666.0,11719.0,,0.041718175416634064,engine_conditional,me_microchip_shape_breakout,gate by product-specific threshold/regime; include only in exploratory candidate or with small cap,portal-positive or proxy-positive but weak full-history support,exploratory high-upside gated engine
ROBOT_MOPPING,ROBOT,conditional_edge,basket-only,58930.0,1636760.0,57308.0,conditional_edge,basket-only,edge appears in a component/probe but is too small or unstable to call standalone strategy-grade.,rolling_mean_reversion,statistical/time-series,500,115242.25,74504.20000000001,1,3,4,vol_norm_momentum,statistical/time-series,500,3423648.0,3512045.95,2,10353.0,1622.0,0.0,0.0,me_robot_specialists.py,309.0,3868.0,,0.027524181231970132,engine_conditional,me_robot_specialists,gate by product-specific threshold/regime; include only in exploratory candidate or with small cap,positive but too small/fragile for standalone confidence,exploratory high-upside gated engine
SLEEP_POD_POLYESTER,SLEEP_POD,conditional_edge,basket-only,58200.0,1561550.0,56178.5,conditional_edge,basket-only,edge appears in a component/probe but is too small or unstable to call standalone strategy-grade.,breakout_low_reversal,breakout,200,369978.0,305604.65000000014,1,3,4,rolling_mean_reversion,statistical/time-series,200,1382338.5,1142934.6500000004,2,21562.0,2021.5,0.0,0.0,me_sleep_material_curve.py,119.0,12940.0,,0.03473367697594502,engine_conditional,me_sleep_material_curve,gate by product-specific threshold/regime; include only in exploratory candidate or with small cap,positive but too small/fragile for standalone confidence,exploratory high-upside gated engine
SLEEP_POD_SUEDE,SLEEP_POD,conditional_edge,basket-only,52630.0,1492225.0,50747.0,conditional_edge,basket-only,edge appears in a component/probe but is too small or unstable to call standalone strategy-grade.,breakout_low_reversal,breakout,200,132016.0,104535.85,1,2,3,breakout_high,breakout,500,1287299.5,342245.49999999953,1,9489.5,1883.0,0.0,0.0,me_sleep_material_curve.py,582.0,12940.0,,0.03577807334220027,engine_conditional,me_sleep_material_curve,gate by product-specific threshold/regime; include only in exploratory candidate or with small cap,positive but too small/fragile for standalone confidence,only in aggressive exploratory branch
ROBOT_DISHES,ROBOT,not_currently_capturable,exclude,51425.0,1736265.0,51425.0,not_currently_capturable,exclude,"large analytical oracle/proxy remains, but no executable replay has confirmed capture; treat as not currently capturable, not a tradable edge.",breakout_low_reversal,breakout,500,254653.25,169252.75000000003,1,2,2,rolling_mean_reversion,statistical/time-series,500,4925994.5,4098542.85,3,0.0,0.0,0.0,0.0,me_robot_specialists.py,664.0,3868.0,,0.01291200777831794,engine_conditional,me_robot_specialists,gate by product-specific threshold/regime; include only in exploratory candidate or with small cap,portal-positive or proxy-positive but weak full-history support,only in aggressive exploratory branch
PANEL_2X4,PANEL,conditional_edge,regime-only,49500.0,1480695.0,47503.5,conditional_edge,regime-only,portal/integration PnL is positive but full-history attribution is weak or negative; treat as portal-fragile and gate hard.,breakout_low_reversal,breakout,200,294469.75,218895.35,1,5,6,reversal,statistical/time-series,500,2220678.0,1536469.35,2,0.0,1996.5,-17806.5,0.0,me_panel_geometry.py,-1681.0,11176.0,,0.04033333333333333,engine_conditional,me_panel_geometry,gate by product-specific threshold/regime; include only in exploratory candidate or with small cap,portal-positive or proxy-positive but weak full-history support,only in aggressive exploratory branch
TRANSLATOR_GRAPHITE_MIST,TRANSLATOR,conditional_edge,regime-only,47955.0,1322045.0,44250.0,conditional_edge,regime-only,portal/integration PnL is positive but full-history attribution is weak or negative; treat as portal-fragile and gate hard.,breakout_low_reversal,breakout,200,92361.0,110212.5,1,2,4,breakout_low_reversal,breakout,500,1847052.5,1053319.6499999994,2,0.0,3705.0,-4900.0,0.0,me_translator_colorways.py,-2819.0,2862.0,,0.0772599311854864,engine_conditional,me_translator_colorways,gate by product-specific threshold/regime; include only in exploratory candidate or with small cap,portal-positive or proxy-positive but weak full-history support,exploratory high-upside gated engine
