probe,products,portal_kevin,portal_xeeshan,full_kevin,full_xeeshan,full_source,product_count,portal_product_pnls,probe_path,kevin_portal_log
me_microchip_shape_breakout.py,"MICROCHIP_SQUARE,MICROCHIP_TRIANGLE,MICROCHIP_RECTANGLE,MICROCHIP_OVAL",11719.0,11719.0,28536.0,28536.0,existing_log,4,MICROCHIP_TRIANGLE:551;MICROCHIP_RECTANGLE:2666;MICROCHIP_SQUARE:4123;MICROCHIP_OVAL:4379,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\probes\multi_engine\me_microchip_shape_breakout.py,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\multi_engine_edge_expansion\me_microchip_shape_breakout_kevin_portal.log
me_robot_specialists.py,"ROBOT_DISHES,ROBOT_MOPPING,ROBOT_LAUNDRY,ROBOT_IRONING,ROBOT_VACUUMING",3868.0,3868.0,17094.0,17094.0,existing_log,5,ROBOT_VACUUMING:-626;ROBOT_DISHES:664;ROBOT_MOPPING:309;ROBOT_LAUNDRY:997;ROBOT_IRONING:2524,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\probes\multi_engine\me_robot_specialists.py,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\multi_engine_edge_expansion\me_robot_specialists_kevin_portal.log
me_sleep_material_curve.py,"SLEEP_POD_COTTON,SLEEP_POD_POLYESTER,SLEEP_POD_SUEDE,SLEEP_POD_LAMB_WOOL,SLEEP_POD_NYLON",12940.0,12940.0,-43370.0,-43370.0,existing_log,5,SLEEP_POD_COTTON:6547;SLEEP_POD_LAMB_WOOL:4174;SLEEP_POD_NYLON:1518;SLEEP_POD_POLYESTER:119;SLEEP_POD_SUEDE:582,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\probes\multi_engine\me_sleep_material_curve.py,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\multi_engine_edge_expansion\me_sleep_material_curve_kevin_portal.log
me_panel_geometry.py,"PANEL_4X4,PANEL_2X4,PANEL_2X2,PANEL_1X4,PANEL_1X2",11176.0,11176.0,-17040.0,,existing_log,5,PANEL_1X2:2827;PANEL_1X4:2427;PANEL_2X2:1577;PANEL_2X4:-1681;PANEL_4X4:6026,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\probes\multi_engine\me_panel_geometry.py,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\multi_engine_edge_expansion\me_panel_geometry_kevin_portal.log
me_translator_colorways.py,"TRANSLATOR_GRAPHITE_MIST,TRANSLATOR_VOID_BLUE,TRANSLATOR_ASTRO_BLACK,TRANSLATOR_SPACE_GRAY,TRANSLATOR_ECLIPSE_CHARCOAL",2862.0,2862.0,,,,5,TRANSLATOR_GRAPHITE_MIST:-2819;TRANSLATOR_VOID_BLUE:-894;TRANSLATOR_SPACE_GRAY:5642;TRANSLATOR_ECLIPSE_CHARCOAL:3152;TRANSLATOR_ASTRO_BLACK:-2218,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\probes\multi_engine\me_translator_colorways.py,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\multi_engine_edge_expansion\me_translator_colorways_kevin_portal.log
me_galaxy_trends.py,"GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_SOLAR_FLAMES",14356.0,14356.0,,,,5,GALAXY_SOUNDS_DARK_MATTER:4254;GALAXY_SOUNDS_BLACK_HOLES:396;GALAXY_SOUNDS_SOLAR_FLAMES:3246;GALAXY_SOUNDS_SOLAR_WINDS:1836;GALAXY_SOUNDS_PLANETARY_RINGS:4625,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\probes\multi_engine\me_galaxy_trends.py,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\multi_engine_edge_expansion\me_galaxy_trends_kevin_portal.log
me_uv_color_curve.py,"UV_VISOR_ORANGE,UV_VISOR_RED,UV_VISOR_AMBER,UV_VISOR_YELLOW,UV_VISOR_MAGENTA",8044.0,8044.0,,,,5,UV_VISOR_YELLOW:1346;UV_VISOR_AMBER:-303;UV_VISOR_RED:3135;UV_VISOR_ORANGE:3959;UV_VISOR_MAGENTA:-93,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\probes\multi_engine\me_uv_color_curve.py,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\multi_engine_edge_expansion\me_uv_color_curve_kevin_portal.log
me_oxygen_flavors.py,"OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_MORNING_BREATH,OXYGEN_SHAKE_MINT,OXYGEN_SHAKE_CHOCOLATE",10858.0,10858.0,,,,5,OXYGEN_SHAKE_MORNING_BREATH:3446;OXYGEN_SHAKE_CHOCOLATE:1841;OXYGEN_SHAKE_EVENING_BREATH:795;OXYGEN_SHAKE_GARLIC:3442;OXYGEN_SHAKE_MINT:1334,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\probes\multi_engine\me_oxygen_flavors.py,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\multi_engine_edge_expansion\me_oxygen_flavors_kevin_portal.log
me_snackpack_specialists.py,"SNACKPACK_RASPBERRY,SNACKPACK_STRAWBERRY,SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,SNACKPACK_PISTACHIO",1616.0,1616.0,,,,5,SNACKPACK_VANILLA:418;SNACKPACK_CHOCOLATE:630;SNACKPACK_RASPBERRY:616;SNACKPACK_PISTACHIO:63;SNACKPACK_STRAWBERRY:-112,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\probes\multi_engine\me_snackpack_specialists.py,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\multi_engine_edge_expansion\me_snackpack_specialists_kevin_portal.log
me_validated_addons.py,"OXYGEN_SHAKE_GARLIC,PANEL_4X4,UV_VISOR_ORANGE,ROBOT_IRONING,MICROCHIP_OVAL",20330.0,20330.0,,,,5,OXYGEN_SHAKE_GARLIC:3442;UV_VISOR_ORANGE:3959;PANEL_4X4:6026;ROBOT_IRONING:2524;MICROCHIP_OVAL:4379,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\probes\multi_engine\me_validated_addons.py,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\multi_engine_edge_expansion\me_validated_addons_kevin_portal.log
