product,category,classification,strategy_role,classification_reason
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,not_currently_capturable,exclude,prior executable replay status was `no standalone edge found` despite high oracle/proxy; do not integrate without a new mechanism.
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,not_currently_capturable,exclude,"large analytical oracle/proxy remains, but no executable replay has confirmed capture; treat as not currently capturable, not a tradable edge."
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,conditional_edge,basket-only,edge appears in a component/probe but is too small or unstable to call standalone strategy-grade.
GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS,not_currently_capturable,exclude,"prior executable replay status was `no standalone edge found` despite high oracle/proxy; do not integrate without a new mechanism. Portal block stability is weak, so timestamp-block concentration is a major overfit risk."
GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS,not_currently_capturable,exclude,"large analytical oracle/proxy remains, but no executable replay has confirmed capture; treat as not currently capturable, not a tradable edge."
SLEEP_POD_SUEDE,SLEEP_POD,conditional_edge,basket-only,edge appears in a component/probe but is too small or unstable to call standalone strategy-grade.
SLEEP_POD_LAMB_WOOL,SLEEP_POD,conditional_edge,regime-only,portal/integration PnL is positive but full-history attribution is weak or negative; treat as portal-fragile and gate hard.
SLEEP_POD_POLYESTER,SLEEP_POD,conditional_edge,basket-only,edge appears in a component/probe but is too small or unstable to call standalone strategy-grade.
SLEEP_POD_NYLON,SLEEP_POD,conditional_edge,basket-only,edge appears in a component/probe but is too small or unstable to call standalone strategy-grade.
SLEEP_POD_COTTON,SLEEP_POD,validated_edge,standalone-tradable,positive integrated/formal replay attribution on portal and full-history support.
MICROCHIP_CIRCLE,MICROCHIP,not_currently_capturable,exclude,"large analytical oracle/proxy remains, but no executable replay has confirmed capture; treat as not currently capturable, not a tradable edge."
MICROCHIP_OVAL,MICROCHIP,validated_edge,standalone-tradable,positive integrated/formal replay attribution on portal and full-history support.
MICROCHIP_SQUARE,MICROCHIP,conditional_edge,regime-only,portal/integration PnL is positive but full-history attribution is weak or negative; treat as portal-fragile and gate hard.
MICROCHIP_RECTANGLE,MICROCHIP,conditional_edge,regime-only,portal/integration PnL is positive but full-history attribution is weak or negative; treat as portal-fragile and gate hard.
MICROCHIP_TRIANGLE,MICROCHIP,conditional_edge,basket-only,edge appears in a component/probe but is too small or unstable to call standalone strategy-grade.
PEBBLES_XS,PEBBLES,validated_edge,standalone-tradable,candidate 16/23/24/25 validates all five through online synthetic fair-value market making; some individual PnL can be negative but category edge is structural.
PEBBLES_S,PEBBLES,validated_edge,standalone-tradable,candidate 16/23/24/25 validates all five through online synthetic fair-value market making; some individual PnL can be negative but category edge is structural.
PEBBLES_M,PEBBLES,validated_edge,standalone-tradable,candidate 16/23/24/25 validates all five through online synthetic fair-value market making; some individual PnL can be negative but category edge is structural.
